2020-2021 NBA Stats | Player Box Score & Advanced Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Precious Achiuwa,Mia,F,21.58,53,12.3,25.6,19.2,13.6,101,0.515,196,0.551,0,0,0.551,0.557,5.1,3.5,16,0.5,6.6,0.32,0.49,0.72,6.7,107.9,98.4
,Jaylen Adams,Mil,G,24.95,7,2.6,5.4,18.5,0,0,0,6,0.167,2,0,0.125,0.125,0.3,0.4,8.7,0.3,12.7,0,0,0,5.1,,
,Steven Adams,Nor,C,27.74,52,28,58.3,11.9,18.1,125,0.448,277,0.625,3,0,0.618,0.6,7.7,9,17.7,2,9.3,0.94,0.67,1.42,7.4,120.2,108.8
,Bam Adebayo,Mia,C-F,23.75,50,33.5,69.7,24,15,284,0.806,626,0.57,8,0.25,0.568,0.625,19,9.2,15.6,5.2,27,0.96,1.14,2.68,11.6,120.6,104.3
,LaMarcus Aldridge,San,C-F,35.75,21,25.9,54,22.7,7,37,0.838,173,0.509,75,0.36,0.518,0.545,13.7,4.5,9.2,1.7,10.2,0.38,0.86,0.95,7.3,107.4,109.4
,LaMarcus Aldridge,Bro,C-F,35.75,5,26,54.3,19.8,11.8,10,1,43,0.488,5,0.8,0.563,0.611,12.8,4.8,10.3,2.6,14.2,0.6,2.2,1.4,8.3,116.6,107.3
,Ty-Shon Alexander,Pho,G,22.75,8,2.9,6,17.2,0,2,0.5,2,0,6,0.167,0.188,0.225,0.5,0.4,7.3,0.1,5.1,0,0,0,3.7,,
,Nickeil Alexander-Walker,Nor,G,22.62,41,20.7,43.2,22.8,12.4,52,0.75,191,0.487,187,0.348,0.504,0.524,10.2,3.1,8.2,2,13.8,0.98,0.51,1.39,7.7,100.7,106.9
,Grayson Allen,Mem,G,25.52,41,25,52.2,16.9,9.7,73,0.863,110,0.473,230,0.404,0.563,0.599,10.9,3.2,6.8,2.2,11.8,0.95,0.17,0.98,6.8,117.2,109.2
,Jarrett Allen,Bro,C,22.99,12,26.6,55.5,15.5,19.3,61,0.754,65,0.677,0,0,0.677,0.73,11.2,10.4,21.9,1.7,8.3,0.58,1.58,1.83,8.8,134.2,106.7
,Jarrett Allen,Cle,C,22.99,34,29.6,61.7,17.4,11.9,167,0.695,268,0.638,13,0.385,0.635,0.667,13.9,9.8,18.5,1.7,9,0.41,1.68,1.41,8.3,128.1,109.6
,Al-Farouq Aminu,Orl,F,30.57,17,21.6,44.9,14.3,20.6,17,0.824,58,0.5,31,0.226,0.444,0.482,5.5,5.4,13,1.7,11.3,1,0.53,1.47,6.8,93,107.5
,Al-Farouq Aminu,Chi,F,30.57,2,8.3,17.2,12.7,41,2,1,1,0,1,0,0,0.347,1,3,20.3,0,0,0,0,1,0,43.7,100.2
,Kyle Anderson,Mem,F-G,27.57,52,27.2,56.6,18.8,10.7,134,0.776,301,0.538,201,0.348,0.532,0.569,12.3,5.9,11.7,3.6,18.1,1.27,0.79,1.29,9.4,115.4,106.2
,Giannis Antetokounmpo,Mil,F,26.36,46,33.8,70.4,32.6,14.1,449,0.684,670,0.631,171,0.304,0.596,0.63,28.5,11.2,17.4,6.1,29.1,1.17,1.33,3.7,14.8,119.9,101.3
,Kostas Antetokounmpo,Lal,F,23.41,13,3.7,7.7,20.5,43.8,11,0.455,8,0.375,0,0,0.375,0.428,0.8,1.3,19.6,0.1,2.7,0.15,0.31,0.77,5.1,,
,Thanasis Antetokounmpo,Mil,F,28.75,43,11,23,15.7,21.4,39,0.462,98,0.582,24,0.292,0.553,0.55,3.6,2.5,12,0.9,9.9,0.42,0.23,0.88,7.3,104.7,100.1
,Carmelo Anthony,Por,F,36.88,54,25.1,52.3,23.4,7.5,131,0.878,377,0.435,245,0.38,0.488,0.531,13.4,3.2,6.8,1.6,9.5,0.72,0.63,1.02,6.5,108.1,111.9
,Cole Anthony,Orl,G,20.92,31,26.3,54.8,22.6,13.8,68,0.838,235,0.417,103,0.311,0.432,0.474,11.3,4.5,9,4,23.7,0.61,0.42,1.9,8.9,97.5,108.4
,OG Anunoby,Tor,F,23.75,37,33,68.8,18.5,12.4,85,0.765,206,0.558,214,0.393,0.574,0.598,14.8,5.7,9.5,2,9.2,1.59,0.68,1.76,6.7,111.7,107.2
,Ryan Arcidiacono,Chi,G,27.06,32,10.9,22.6,13,6.7,16,0.75,39,0.487,52,0.308,0.473,0.5,3.1,1.6,8.2,1.3,15.8,0.22,0,0.22,6.8,113.1,106.3
,Trevor Ariza,Mia,F,35.8,15,25.6,53.4,15.2,6.9,23,0.783,51,0.392,60,0.367,0.477,0.512,8.3,3.9,8.5,1.7,9.5,0.73,0.67,0.6,5.9,105.8,107.3
,D.J. Augustin,Mil,G,33.43,37,19.3,40.1,14.3,14,40,0.9,63,0.349,129,0.38,0.497,0.542,6.1,1.4,3.7,3,18.7,0.54,0.03,0.92,6.1,114.9,111.5
,D.J. Augustin,Hou,G,33.43,14,19.2,39.9,20.7,16.2,34,0.971,44,0.477,50,0.36,0.511,0.592,9.2,2.3,6.4,4,31.3,0.43,0,1.5,9.1,117.8,112.6
,Deni Avdija,Was,F,20.29,51,23.4,48.7,12,9,42,0.643,134,0.537,161,0.323,0.508,0.522,6.4,4.8,11,1.2,6.7,0.57,0.27,0.61,5.7,103,103.9
,Deandre Ayton,Pho,C,22.74,55,30.5,63.6,19.4,12.7,146,0.76,557,0.641,20,0.2,0.629,0.653,15.2,10.8,19.9,1.4,6.9,0.51,1.15,1.69,8,124.6,100.7
,Udoka Azubuike,Uta,C-F,21.58,12,4.1,8.5,11.1,23.7,6,0.667,7,0.571,0,0,0.571,0.622,1,1.1,14,0,0,0.08,0.33,0.25,0,107.7,93.5
,Dwayne Bacon,Orl,G-F,25.63,56,25,52,19.1,5.7,116,0.836,370,0.441,162,0.309,0.447,0.491,10.2,3,6.3,1.2,7.5,0.5,0.07,0.63,5.3,101,111.4
,Marvin Bagley III,Sac,F,22.09,37,25.7,53.6,23.1,9.6,109,0.56,320,0.547,96,0.354,0.543,0.553,13.9,7.4,16,0.9,5.5,0.49,0.51,1.32,7,108.9,110.8
,LaMelo Ball,Cha,G,19.65,41,28.6,59.7,25.4,16.5,123,0.789,310,0.503,216,0.375,0.528,0.562,15.9,5.9,11.1,6.1,33.9,1.59,0.34,2.8,11.6,110.6,103.4
,Lonzo Ball,Nor,G,23.47,42,31.4,65.5,19.9,13.5,48,0.792,177,0.503,338,0.376,0.543,0.557,14.2,4.1,7.2,5.6,25.2,1.38,0.6,2,8.8,112.5,110.7
,Mo Bamba,Orl,C,22.93,32,12.3,25.6,22.9,10.1,33,0.606,108,0.546,65,0.385,0.558,0.568,6.7,4.3,18.1,0.5,6.5,0.19,0.97,0.66,7.9,109.9,100.1
,Desmond Bane,Mem,G,22.81,50,22.4,46.7,16.6,10.7,39,0.821,181,0.492,194,0.459,0.593,0.608,9.5,3.1,7.4,1.6,9.8,0.68,0.2,0.94,6.4,114,106.2
,Harrison Barnes,Sac,F,28.88,53,36.3,75.7,16.8,11,218,0.826,355,0.566,222,0.365,0.559,0.613,15.6,6.7,10.2,3.5,12.9,0.79,0.19,1.57,7.9,121.2,118.1
,RJ Barrett,Nyk,F-G,20.84,57,34.1,71,23.6,10.7,229,0.734,615,0.472,210,0.381,0.497,0.534,17.3,5.7,9.1,3,14.1,0.79,0.26,1.95,7.8,106.1,104.2
,Will Barton,Den,G,30.28,53,31.3,65.1,18.9,12.7,110,0.782,333,0.465,243,0.374,0.506,0.536,12.6,4,7.3,3.2,13.6,0.91,0.42,1.72,7,106.7,111.5
,Keita Bates-Diop,San,F,25.23,17,7.2,15,14.3,2.5,10,0.7,20,0.4,15,0.333,0.443,0.482,2.2,1.2,9.1,0.4,7.6,0.35,0.06,0.06,5.7,109.1,109.5
,Nicolas Batum,Lac,G-F,32.34,55,28.4,59.2,12,10.6,52,0.846,121,0.537,235,0.417,0.596,0.618,8.5,4.9,9.8,2.3,10.5,1.11,0.51,0.82,6.4,124.7,108
,Aron Baynes,Tor,C-F,34.35,50,18.2,38,16.1,12.7,37,0.73,187,0.529,93,0.237,0.471,0.491,5.8,5.1,15.3,0.9,6.8,0.3,0.4,0.86,6.6,102.2,102.6
,Kent Bazemore,Gol,G-F,31.8,54,17.6,36.7,16.3,16.5,57,0.702,148,0.48,131,0.412,0.545,0.566,6.4,3,9,1.6,12.6,0.89,0.46,1.11,7.1,102.5,100.5
,Darius Bazley,Okc,F-G,20.84,40,30.8,64.1,20.1,13.5,89,0.708,252,0.5,208,0.284,0.466,0.493,12.3,7.4,12.5,1.6,7.7,0.5,0.58,1.95,6.8,91.3,112.2
,Bradley Beal,Was,G,27.8,46,35.4,73.8,34.7,11.4,361,0.898,744,0.54,299,0.331,0.528,0.593,31,4.8,7.2,4.8,24.1,1.13,0.35,3.35,10.1,112.5,110.5
,Malik Beasley,Min,G,24.39,37,32.8,68.4,24.1,8.6,80,0.85,279,0.487,321,0.399,0.547,0.57,19.6,4.4,7.2,2.4,11.9,0.81,0.19,1.62,7.2,108.5,115.5
,Jordan Bell,Was,F,26.27,3,16.6,34.6,15.1,16.7,0,0,13,0.385,2,0,0.333,0.333,3.3,5.3,17,1.7,13.1,0.33,1,1,7.5,83.4,106.8
,DeAndre' Bembry,Tor,G-F,26.79,38,18.1,37.6,13.5,22,41,0.683,116,0.621,33,0.273,0.574,0.596,5.2,2.6,8,2,15.4,0.82,0.37,1.24,6.6,108.2,107.6
,Davis Bertans,Was,F,28.43,41,24.5,51,16.4,6.6,79,0.873,35,0.457,300,0.4,0.585,0.623,11.2,3,6.5,0.9,5,0.61,0.24,0.63,5.1,119.1,107.4
,Patrick Beverley,Lac,G,32.76,31,23.4,48.8,14.4,11.5,41,0.805,65,0.462,125,0.416,0.568,0.598,8,3.6,8.6,2.1,11.7,0.84,0.77,0.87,6.7,121.3,100.3
,Saddiq Bey,Det,F,22.02,54,25.6,53.3,18.2,7.4,97,0.876,159,0.484,333,0.378,0.541,0.577,11.4,4.1,8.9,1.3,7.6,0.72,0.13,0.8,6.1,112.9,109.5
,Tyler Bey,Dal,F,23.18,11,3.5,7.3,15.9,0,4,0.5,11,0.364,1,0,0.333,0.363,0.9,1.1,17.1,0.1,3.5,0,0.09,0,5.3,,
,Khem Birch,Orl,C,28.55,48,19.8,41.3,12.3,8.5,85,0.741,188,0.479,21,0.19,0.459,0.517,5.3,5.1,13.4,1.1,7.9,0.67,0.58,0.48,6.3,119.5,108.7
,Khem Birch,Tor,C,28.55,4,24.5,51.1,14.5,9.1,9,0.556,23,0.652,3,0.333,0.635,0.634,9.5,6,13.5,0.3,1.5,1,1.5,0.75,4.2,123.5,105.8
,Goga Bitadze,Ind,C-F,21.74,36,11,22.9,19.4,8.9,39,0.744,92,0.587,54,0.278,0.524,0.558,5.1,3.1,15.3,0.7,9.3,0.22,1.14,0.44,8.1,117.1,98.4
,Bismack Biyombo,Cha,C,28.63,51,20.9,43.6,11.5,18.5,89,0.483,194,0.582,1,0,0.579,0.574,5.3,5.2,13.6,1.3,8.5,0.29,1.12,1.04,6.3,113.2,105
,Nemanja Bjelica,Sac,F,32.94,26,16.9,35.2,19.2,14.3,42,0.762,92,0.565,58,0.293,0.517,0.555,7.2,3.8,12.6,1.9,15.3,0.31,0.08,1.08,8.8,109.8,109.9
,Nemanja Bjelica,Mia,F,32.94,8,10.8,22.6,14.7,10.6,3,0.333,8,0.75,16,0.188,0.438,0.434,2.8,2,10.4,1.1,15,0.25,0.25,0.38,6.8,92.3,93.7
,Eric Bledsoe,Nor,G,31.35,55,30.2,63,17.9,12.4,136,0.728,275,0.469,278,0.345,0.494,0.526,11.7,3.5,6.3,3.7,16.6,0.71,0.31,1.58,7.1,107,113.3
,Keljin Blevins,Por,G,25.4,10,5.1,10.5,14.5,17.6,0,0,9,0.222,5,0,0.143,0.143,0.4,0.2,2.1,0.4,9.8,0.2,0,0.3,2.5,40.3,113.8
,Bojan Bogdanovic,Uta,F,32,56,30.4,63.4,21,9.7,185,0.87,323,0.464,347,0.383,0.522,0.572,15.4,4,6.9,1.8,8.6,0.52,0.05,1.45,6.3,112.9,107.6
,Bogdan Bogdanovic,Atl,G,28.66,31,27.6,57.5,20.4,8.5,32,0.906,147,0.51,207,0.415,0.576,0.594,14.1,3.7,7.3,3,17,0.84,0.26,1.1,7.8,118.6,108.7
,Bol Bol,Den,C-F,21.42,24,5,10.3,21.4,17.2,12,0.583,24,0.542,19,0.474,0.616,0.621,2.5,0.8,8.6,0.3,7.1,0.08,0.38,0.42,6.7,102.2,105.6
,Marques Bolden,Cle,C,23,6,4.8,9.9,13,23.5,8,0.625,3,0.333,0,0,0.333,0.537,1.2,1,11.7,0,0,0.33,0.33,0.33,0,100.1,115.5
,Jordan Bone,Orl,G,23.45,14,14,29.2,12.6,5.3,0,0,22,0.591,32,0.313,0.519,0.519,4,1.7,6.4,1.3,13.4,0.14,0,0.21,5.9,112.6,112.7
,Isaac Bonga,Was,G,21.44,34,11.5,24,9.8,19.4,6,0.5,30,0.5,42,0.286,0.458,0.462,2,1.9,8.5,0.6,6.7,0.26,0.24,0.53,4.6,91.1,102.8
,Devin Booker,Pho,G,24.46,51,33.7,70.3,32.9,13.1,286,0.864,676,0.55,303,0.35,0.542,0.592,25.7,4.1,6.9,4.5,22,0.84,0.27,3.25,9.3,109.7,105.2
,Chris Boucher,Tor,F-C,28.26,57,24,50.1,20.5,7.1,181,0.79,308,0.614,216,0.38,0.595,0.635,13.5,6.6,15.2,1.1,7.2,0.58,1.91,0.81,7.7,126.8,102.7
,Brian Bowen II,Ind,F-G,22.54,4,2.7,5.7,13.5,0,1,1,3,0.333,0,0,0.333,0.436,0.8,0.5,10.1,0,0,0,0,0,0,,
,Avery Bradley,Mia,G,30.39,10,21.1,43.9,16.9,11.4,9,0.778,28,0.536,38,0.421,0.591,0.607,8.5,1.8,4.8,1.4,10.3,0.7,0.1,0.9,5.3,109.6,101.7
,Avery Bradley,Hou,G,30.39,11,22.1,46.1,13.8,10.2,4,0.75,27,0.444,42,0.286,0.435,0.445,5.7,2.3,5.5,1.7,11,0.73,0.09,0.73,5.1,93.1,110.9
,Tony Bradley,Phi,C-F,23.27,20,14.4,29.9,12.8,7,11,0.636,74,0.689,1,0,0.68,0.683,5.5,5.2,19.9,0.9,8.8,0.3,0.65,0.3,8.2,143.7,99.4
,Tony Bradley,Okc,C-F,23.27,11,19.7,40.9,18.6,18.2,24,0.667,64,0.672,2,0,0.652,0.666,9.3,7.2,19,1.1,9.2,0.45,1,1.55,8.5,118.6,105.2
,Jarrell Brantley,Uta,F,24.86,18,4.4,9.2,17.8,6.1,2,1,12,0.667,18,0.389,0.617,0.631,2.2,1.1,12.6,0.3,9.4,0.17,0.06,0.11,8.2,130.8,94.4
,Ignas Brazdeikis,Nyk,F,22.27,4,1.8,3.7,17.9,34.7,2,1,1,0,0,0,0,0.532,0.5,0.5,15.2,0.3,17.4,0,0,0.25,9.4,,
,Ignas Brazdeikis,Phi,F,22.27,1,7.9,16.5,16.3,0,0,0,2,0,1,0,0,0,0,2,13.9,0,0,0,0,0,0,0,110.4
,Miles Bridges,Cha,F,23.07,55,28,58.3,16.2,15.7,84,0.869,241,0.61,212,0.396,0.603,0.632,11.3,5.9,11.4,2,10.5,0.67,0.71,1.65,7.3,114.3,107.8
,Mikal Bridges,Pho,F,24.63,55,32.1,66.9,15,7.9,101,0.822,274,0.624,232,0.409,0.62,0.645,12.9,4.5,7.9,2.2,9.3,0.93,0.87,0.85,6.3,127.2,109
